Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
GuillainBarré Syndrome,"IV immunoglobulin (0.4 g/kg daily for 5 days), plasmapheresis.","Nerve conduction studies, lumbar puncture (elevated CSF protein).","Muscle weakness, tingling, paralysis, breathing difficulty.","intravenous immunoglobulin (0.4 g/kg daily for 5 days), plasmapheresis. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
NoninsulinDependent Diabetes (Type 2),"Metformin (5001000 mg twice daily), lifestyle changes, glipizide (510 mg daily).","HbA1c (>6.5%), fasting glucose (>126 mg/dL).","Fatigue, thirst, frequent urination, slowhealing wounds.","Metformin (5001000 milligrams twice daily), lifestyle changes, glipizide (510 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pertussis,"Azithromycin (500 mg day 1, 250 mg days 25), supportive care.","Nasopharyngeal swab PCR, clinical history.","Severe coughing fits, whooping sound, vomiting postcough.","Azithromycin (500 milligrams day 1, 250 milligrams days 25), supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Turner Syndrome,"Growth hormone (0.3 mg/kg/week), estrogen replacement (e.g., estradiol 12 mg daily).","Karyotype (45,X), echocardiography.","Short stature, webbed neck, infertility, heart defects.","Growth hormone (0.3 milligrams/kg/week), estrogen replacement (e.g., estradiol 12 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Wilson’s Disease,"Penicillamine (250500 mg 4x daily), zinc acetate (50 mg 3x daily).","Serum ceruloplasmin, 24hour urine copper, liver biopsy.","Tremors, jaundice, copper rings in eyes, liver dysfunction.","Penicillamine (250500 milligrams 4 times a day), zinc acetate (50 milligrams 3 times a day). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Atelectasis,"Incentive spirometry, bronchodilators (e.g., albuterol), surgery if chronic.","Chest Xray, CT scan if needed.","Shortness of breath, chest pain, reduced breath sounds.","Incentive spirometry, bronchodilators (e.g., albuterol), surgery if chronic. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Malignant Pleural Mesothelioma,"Pemetrexed (500 mg/m² IV), cisplatin (75 mg/m² IV), surgery.","Chest CT, pleural biopsy, PET scan.","Chest pain, dyspnea, weight loss, pleural effusion.","Pemetrexed (500 milligrams/m² intravenous), cisplatin (75 milligrams/m² intravenous), surgery. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Lung Cancer,"Surgery, gefitinib (250 mg daily), carboplatin (AUC 56 IV).","Chest Xray, CT, biopsy, EGFR testing.","Persistent cough, hemoptysis, chest pain, weight loss.","Surgery, gefitinib (250 milligrams daily), carboplatin (AUC 56 intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Prostate Cancer,"Radical prostatectomy, leuprolide (7.5 mg monthly), abiraterone (1000 mg daily).","PSA test, prostate biopsy, MRI.","Difficulty urinating, blood in urine, pelvic pain, bone pain.","Radical prostatectomy, leuprolide (7.5 milligrams monthly), abiraterone (1000 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Kawasaki Disease,"IV immunoglobulin (2 g/kg over 1012 hours), aspirin (3050 mg/kg/day).","Clinical criteria, echocardiography for coronary aneurysms.","Fever >5 days, rash, red eyes, swollen hands/feet, strawberry tongue.","intravenous immunoglobulin (2 g/kg over 1012 hours), aspirin (3050 milligrams/kg/day). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Menopause,"Estradiol (0.51 mg daily), lifestyle changes, SSRIs (e.g., paroxetine 20 mg daily).","Clinical history, FSH levels (>25 IU/L).","Hot flashes, night sweats, irregular periods, mood swings.","Estradiol (0.51 milligrams daily), lifestyle changes, SSRIs (e.g., paroxetine 20 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Idiopathic Intracranial Hypertension,"Acetazolamide (250500 mg twice daily), weight loss, optic nerve sheath fenestration.","Lumbar puncture (elevated pressure), MRI/MRV.","Headaches, vision loss, papilledema, tinnitus.","Acetazolamide (250500 milligrams twice daily), weight loss, optic nerve sheath fenestration. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Penile Cancer,"Partial penectomy, cisplatin (70 mg/m² IV), radiotherapy.","Biopsy, MRI, HPV testing.","Penile lesion, bleeding, foul odor, groin swelling.","Partial penectomy, cisplatin (70 milligrams/m² intravenous), radiotherapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Disseminated Tuberculosis,"Rifampin (600 mg daily), isoniazid (300 mg daily), ethambutol (15 mg/kg daily).","Chest Xray, sputum culture, biopsy of affected sites.","Fever, night sweats, weight loss, multiorgan involvement.","Rifampin (600 milligrams daily), isoniazid (300 milligrams daily), ethambutol (15 milligrams/kg daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bronchitis,"Albuterol inhaler, doxycycline (100 mg twice daily) if bacterial.","Clinical exam, chest Xray to rule out pneumonia.","Productive cough, wheezing, chest discomfort, fatigue.","Albuterol inhaler, doxycycline (100 milligrams twice daily) if bacterial. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Giardiasis,"Metronidazole (250 mg 3x daily for 57 days), hydration.","Stool antigen test, microscopy for Giardia.","Diarrhea, abdominal cramps, bloating, foulsmelling stools.","Metronidazole (250 milligrams 3 times a day for 57 days), hydration. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dyslexia,"Educational interventions, no drugs typically required.","Cognitive testing, reading assessments.","Difficulty reading, spelling errors, slow word recognition.","Educational interventions, no drugs typically required. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Factor V Leiden,"Warfarin (25 mg daily), rivaroxaban (20 mg daily).","Genetic testing, Ddimer, ultrasound for clots.","Recurrent blood clots, leg swelling, pulmonary embolism risk.","Warfarin (25 milligrams daily), rivaroxaban (20 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dandruff,"Ketoconazole shampoo (12% weekly), selenium sulfide (2.5%).","Clinical inspection, rule out psoriasis or fungal infection.","Flaky scalp, itching, white scales on hair/shoulders.","Ketoconazole shampoo (12% weekly), selenium sulfide (2.5%). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ramsay Hunt Syndrome,"Acyclovir (800 mg 5x daily), prednisone (60 mg daily tapering).","Clinical exam, PCR for varicellazoster virus.","Facial paralysis, ear pain, vesicles in ear canal, vertigo.","Acyclovir (800 milligrams 5 times a day), prednisone (60 milligrams daily tapering). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Panic Disorder,"Sertraline (50200 mg daily), lorazepam (0.51 mg as needed), CBT.","DSM5 criteria, rule out medical causes.","Sudden panic attacks, palpitations, sweating, fear of losing control.","Sertraline (50200 milligrams daily), lorazepam (0.51 milligrams as needed), CBT. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bird Flu (Avian Influenza),"Oseltamivir (75 mg twice daily for 5 days), supportive care.","RTPCR of respiratory sample, history of bird exposure.","Fever, cough, sore throat, muscle aches, respiratory failure.","Oseltamivir (75 milligrams twice daily for 5 days), supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fifth Disease,"Supportive care, ibuprofen (200400 mg) for pain.","Clinical presentation, parvovirus B19 IgM test.","""Slapped cheek"" rash, fever, joint pain, fatigue.","Supportive care, ibuprofen (200400 milligrams) for pain. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
GERD,"Omeprazole (2040 mg daily), lifestyle changes.","Endoscopy, pH monitoring, symptom history.","Heartburn, regurgitation, chest pain, dysphagia.","Omeprazole (2040 milligrams daily), lifestyle changes. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Obstructive Sleep Apnea,"CPAP therapy, modafinil (200 mg daily) if needed.","Polysomnography (sleep study), AHI score.","Loud snoring, daytime sleepiness, gasping during sleep.","CPAP therapy, modafinil (200 milligrams daily) if needed. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Colitis,"Mesalamine (2.44.8 g daily), prednisone (40 mg daily tapering).","Colonoscopy, stool studies, CRP levels.","Abdominal pain, diarrhea (bloody if ulcerative), urgency.","Mesalamine (2.44.8 g daily), prednisone (40 milligrams daily tapering). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Neuroblastoma,"Surgery, doxorubicin (60 mg/m² IV), cyclophosphamide (1000 mg/m² IV).","CT/MRI, urine catecholamines, biopsy.","Abdominal mass, bone pain, fever, fatigue.","Surgery, doxorubicin (60 milligrams/m² intravenous), cyclophosphamide (1000 milligrams/m² intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Sjögren’s Syndrome,"Pilocarpine (5 mg 4x daily), hydroxychloroquine (200400 mg daily).","AntiSSA/SSB antibodies, Schirmer test, salivary biopsy.","Dry eyes, dry mouth, joint pain, fatigue.","Pilocarpine (5 milligrams 4 times a day), hydroxychloroquine (200400 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bulimia,"Fluoxetine (60 mg daily), psychotherapy.","DSM5 criteria, electrolyte imbalances.","Binge eating, purging, tooth erosion, weight fluctuations.","Fluoxetine (60 milligrams daily), psychotherapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Flu (Influenza),"Oseltamivir (75 mg twice daily for 5 days), rest.","Rapid antigen test, clinical symptoms.","Fever, chills, body aches, cough, fatigue.","Oseltamivir (75 milligrams twice daily for 5 days), rest. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Anaphylaxis,"Epinephrine (0.3 mg IM), diphenhydramine (2550 mg IV).","Clinical presentation, history of allergen exposure.","Hives, swelling, difficulty breathing, hypotension.","Epinephrine (0.3 milligrams IM), diphenhydramine (2550 milligrams intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Left Ventricular Hypertrophy,"Lisinopril (1040 mg daily), metoprolol (25100 mg daily).","ECG (increased QRS voltage), echocardiogram.","Chest pain, dyspnea, fatigue, palpitations.","Lisinopril (1040 milligrams daily), metoprolol (25100 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Piriformis Syndrome,"Physical therapy, ibuprofen (400800 mg), botox injections.","Physical exam, MRI to rule out disc issues.","Buttock pain, sciaticalike leg pain, numbness.","Physical therapy, ibuprofen (400800 milligrams), botox injections. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyponatremia,"3% saline IV (100 mL bolus), fluid restriction.","Serum sodium (<135 mmol/L), urine osmolality.","Nausea, headache, confusion, seizures.","3% saline intravenous (100 mL bolus), fluid restriction. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Degenerative Disc Disease,"Physical therapy, duloxetine (60 mg daily), epidural steroids.","Xray, MRI showing disc dehydration.","Chronic back pain, stiffness, radiating leg pain.","Physical therapy, duloxetine (60 milligrams daily), epidural steroids. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ichthyosis Vulgaris,"Urea cream (1020%), lactic acid lotion.","Clinical exam, family history, skin biopsy if needed.","Dry, scaly skin, itching, thickened patches.","Urea cream (1020%), lactic acid lotion. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Malaria,"Artemetherlumefantrine (20/120 mg 4 tablets twice daily), doxycycline (100 mg daily).","Blood smear, rapid diagnostic test for Plasmodium.","Fever, chills, sweats, headache, anemia.","Artemetherlumefantrine (20/120 milligrams 4 tablets twice daily), doxycycline (100 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Depression,"Sertraline (50200 mg daily), psychotherapy.","DSM5 criteria, PHQ9 score.","Persistent sadness, fatigue, sleep changes, hopelessness.","Sertraline (50200 milligrams daily), psychotherapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pancreatic Cancer,"Surgery, gemcitabine (1000 mg/m² IV), FOLFIRINOX regimen.","CT scan, CA 199 levels, biopsy.","Jaundice, abdominal pain, weight loss, nausea.","Surgery, gemcitabine (1000 milligrams/m² intravenous), FOLFIRINOX regimen. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HIV/AIDS,"Tenofovir/emtricitabine (300/200 mg daily), dolutegravir (50 mg daily).","HIV antibody test, viral load PCR, CD4 count.","Fever, fatigue, weight loss, opportunistic infections.","Tenofovir/emtricitabine (300/200 milligrams daily), dolutegravir (50 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Myocarditis,"Ibuprofen (600 mg 3x daily), colchicine (0.5 mg daily), ACE inhibitors (e.g., lisinopril 10 mg daily).","ECG (ST elevation), troponin levels, cardiac MRI.","Chest pain, fatigue, shortness of breath, fever, palpitations.","Ibuprofen (600 milligrams 3 times a day), colchicine (0.5 milligrams daily), ACE inhibitors (e.g., lisinopril 10 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Aspergillosis,"Voriconazole (200 mg twice daily), amphotericin B (0.71 mg/kg IV daily).","Chest CT (halo sign), sputum culture, galactomannan test.","Cough, wheezing, fever, hemoptysis (invasive cases).","Voriconazole (200 milligrams twice daily), amphotericin B (0.71 milligrams/kg intravenous daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Meningitis,"Ceftriaxone (2 g IV every 12 hours), vancomycin (15 mg/kg IV), dexamethasone (10 mg IV).","Lumbar puncture (CSF analysis), blood cultures, CT head.","Fever, stiff neck, headache, photophobia, rash (if bacterial).","Ceftriaxone (2 g intravenous every 12 hours), vancomycin (15 milligrams/kg intravenous), dexamethasone (10 milligrams intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Renovascular Hypertension,"Lisinopril (2040 mg daily), angioplasty, atenolol (50100 mg daily).","Renal artery Doppler, CT angiography, plasma renin levels.","Severe high BP, flank pain, kidney dysfunction symptoms.","Lisinopril (2040 milligrams daily), angioplasty, atenolol (50100 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Aortic Stenosis,"Valve replacement, metoprolol (25100 mg daily), diuretics (e.g., furosemide 2040 mg).","Echocardiogram (valve area <1 cm²), ECG, cardiac cath.","Chest pain, dyspnea, syncope, heart murmur.","Valve replacement, metoprolol (25100 milligrams daily), diuretics (e.g., furosemide 2040 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Restless Legs Syndrome,"Pramipexole (0.1250.5 mg nightly), iron supplements (ferrous sulfate 325 mg), gabapentin (300 mg).","Clinical history, polysomnography, ferritin levels.","Urge to move legs, discomfort, worse at night, twitching.","Pramipexole (0.1250.5 milligrams nightly), iron supplements (ferrous sulfate 325 milligrams), gabapentin (300 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Schizoaffective Disorder,"Risperidone (26 mg daily), lithium (9001200 mg daily), therapy.","DSM5 criteria, psychiatric evaluation.","Hallucinations, delusions, mood swings, depression/mania.","Risperidone (26 milligrams daily), lithium (9001200 milligrams daily), therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
COVID19,"Remdesivir (200 mg day 1, 100 mg days 25 IV), dexamethasone (6 mg daily), oxygen therapy.","RTPCR nasal swab, chest CT, antigen test.","Fever, cough, dyspnea, fatigue, loss of taste/smell.","Remdesivir (200 milligrams day 1, 100 milligrams days 25 intravenous), dexamethasone (6 milligrams daily), oxygen therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Down Syndrome,"Supportive care, cardiac surgery if needed, thyroxine (2550 mcg daily) for hypothyroidism.","Karyotype (trisomy 21), prenatal screening, physical exam.","Intellectual disability, flat face, heart defects, hypotonia.","Supportive care, cardiac surgery if needed, thyroxine (2550 micrograms daily) for hypothyroidism. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Human Papillomavirus (HPV),"Imiquimod cream (5% 3x weekly), podophyllin, vaccination (Gardasil).","Pap smear, HPV DNA test, visual inspection.","Genital warts, asymptomatic (some strains), cervical changes.","Imiquimod cream (5% 3x weekly), podophyllin, vaccination (Gardasil). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyperhidrosis,"Aluminum chloride (20% topical), glycopyrrolate (12 mg daily), botox injections.","Clinical history, starchiodine test.","Excessive sweating (hands, feet, armpits), social distress.","Aluminum chloride (20% topical), glycopyrrolate (12 milligrams daily), botox injections. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pyloric Stenosis,"Pyloromyotomy surgery, IV fluids, no drugs typically.","Ultrasound (pyloric thickness >3 mm), upper GI series.","Projectile vomiting, weight loss, palpable olive mass (infants).","Pyloromyotomy surgery, intravenous fluids, no drugs typically. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyperemesis Gravidarum,"Ondansetron (48 mg IV), IV fluids, pyridoxine (1025 mg daily).","Clinical history, ketones in urine, electrolyte imbalance.","Severe nausea/vomiting in pregnancy, dehydration, weight loss.","Ondansetron (48 milligrams intravenous), intravenous fluids, pyridoxine (1025 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Thrush (Oral Candidiasis),"Nystatin (100,000 units 4x daily), fluconazole (200 mg day 1, 100 mg daily).","Clinical exam, KOH smear for Candida.","White patches in mouth, soreness, difficulty swallowing.","Nystatin (100,000 units 4 times a day), fluconazole (200 milligrams day 1, 100 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Thromboembolic Pulmonary Hypertension,"Warfarin (INR 23), riociguat (12.5 mg 3x daily), surgery (PEA).","V/Q scan, CT pulmonary angiography, right heart cath.","Dyspnea, fatigue, chest pain, leg swelling.","Warfarin (INR 23), riociguat (12.5 milligrams 3 times a day), surgery (PEA). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cryptococcal Meningitis,"Amphotericin B (0.71 mg/kg IV daily), flucytosine (25 mg/kg 4x daily).","CSF India ink stain, cryptococcal antigen test.","Headache, fever, confusion, neck stiffness (HIVrelated).","Amphotericin B (0.71 milligrams/kg intravenous daily), flucytosine (25 milligrams/kg 4 times a day). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hoarding Disorder,"CBT, sertraline (50200 mg daily), no specific drugs.","DSM5 criteria, psychiatric evaluation.","Excessive clutter, inability to discard items, distress.","CBT, sertraline (50200 milligrams daily), no specific drugs. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pancreatogenic Diabetes,"Insulin (variable dosing), pancreatic enzyme replacement (Creon).","HbA1c, fecal elastase, history of pancreatic damage.","Hyperglycemia, abdominal pain, malabsorption postpancreatitis.","Insulin (variable dosing), pancreatic enzyme replacement (Creon). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Raynaud’s Disease,"Nifedipine (3060 mg daily), warm clothing, sildenafil (20 mg).","Clinical history, nailfold capillaroscopy.","Cold fingers/toes, color changes (white, blue, red), numbness.","Nifedipine (3060 milligrams daily), warm clothing, sildenafil (20 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hiccups (Chronic),"Chlorpromazine (2550 mg 3x daily), baclofen (510 mg 3x daily).","Clinical history, rule out GI/neuro causes (e.g., GERD).","Persistent involuntary diaphragm spasms, distress.","Chlorpromazine (2550 milligrams 3 times a day), baclofen (510 milligrams 3 times a day). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mitral Valve Prolapse,"Betablockers (e.g., propranolol 2040 mg), surgery if severe.","Echocardiogram, ECG.","Palpitations, chest pain, fatigue, murmur.","Betablockers (e.g., propranolol 2040 milligrams), surgery if severe. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Rotator Cuff Injury,"Physical therapy, naproxen (500 mg twice daily), surgery if torn.","MRI, ultrasound, physical exam.","Shoulder pain, weakness, limited range of motion.","Physical therapy, naproxen (500 milligrams twice daily), surgery if torn. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ocular Rosacea,"Doxycycline (40 mg daily), artificial tears, lid hygiene.","Clinical exam, history of rosacea.","Red, gritty eyes, eyelid inflammation, tearing.","Doxycycline (40 milligrams daily), artificial tears, lid hygiene. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Gallstones,"Cholecystectomy, ursodiol (300 mg twice daily) if nonsurgical.","Ultrasound, CT if unclear, LFTs.","Right upper quadrant pain, nausea, postmeal discomfort.","Cholecystectomy, ursodiol (300 milligrams twice daily) if nonsurgical. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cervical Dysplasia,"Cryotherapy, LEEP, imiquimod (for HPVrelated).","Pap smear, colposcopy, HPV testing.","Often asymptomatic, abnormal bleeding possible.","Cryotherapy, LEEP, imiquimod (for HPVrelated). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Congenital Zika Virus,"Supportive care, no specific drugs.","Maternal Zika PCR, fetal ultrasound, newborn exam.","Microcephaly, joint contractures, vision/hearing loss (infants).","Supportive care, no specific drugs. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Spondylolisthesis,"Physical therapy, ibuprofen (400800 mg), surgery if severe.","Xray (vertebral slip), MRI for nerve involvement.","Lower back pain, leg numbness, stiffness.","Physical therapy, ibuprofen (400800 milligrams), surgery if severe. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Schistosomiasis,"Praziquantel (40 mg/kg single dose), steroids if acute.","Stool/urine microscopy, serology.","Rash, fever, abdominal pain, bloody urine/stool.","Praziquantel (40 milligrams/kg single dose), steroids if acute. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bubonic Plague,"Streptomycin (1 g IM twice daily), doxycycline (100 mg twice daily).","Lymph node aspirate culture, Yersinia pestis PCR.","Fever, chills, painful swollen lymph nodes (buboes).","Streptomycin (1 g IM twice daily), doxycycline (100 milligrams twice daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Amyotrophic Lateral Sclerosis (ALS),"Riluzole (50 mg twice daily), edaravone (60 mg IV), supportive care.","EMG, nerve conduction studies, MRI.","Muscle weakness, twitching, speech difficulty, atrophy.","Riluzole (50 milligrams twice daily), edaravone (60 milligrams intravenous), supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Loiasis,"Ivermectin (150 mcg/kg single dose), diethylcarbamazine (6 mg/kg daily).","Blood smear (microfilariae), history of travel.","Eye worm migration, itchy swellings (Calabar), fatigue.","Ivermectin (150 micrograms/kg single dose), diethylcarbamazine (6 milligrams/kg daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Interstitial Cystitis,"Pentosan polysulfate (100 mg 3x daily), amitriptyline (1050 mg).","Cystoscopy, urine analysis, symptom history.","Pelvic pain, frequent urination, urgency, pain during sex.","Pentosan polysulfate (100 milligrams 3 times a day), amitriptyline (1050 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dermatophytosis (Ringworm),"Terbinafine cream (1% daily), fluconazole (150 mg weekly).","Skin scraping KOH test, fungal culture.","Red, scaly, itchy ringshaped rash.","Terbinafine cream (1% daily), fluconazole (150 milligrams weekly). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Epididymitis,Ceftriaxone (250 mg IM) + doxycycline (100 mg twice daily).,"Ultrasound, urine culture, STI testing.","Scrotal pain, swelling, fever, urinary discomfort.",Ceftriaxone (250 milligrams IM) + doxycycline (100 milligrams twice daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
